routeId,weather_start,weather_category,total_alerts
1,2013-03-01 05:00:00+00:00,Clear,1
1,2013-03-20 05:00:00+00:00,Clear,1
1,2013-03-25 05:00:00+00:00,Cloudy/Other,1
1,2013-03-28 05:00:00+00:00,Clear,1
1,2014-01-06 08:00:00+00:00,Rain,1
1,2014-08-12 17:00:00+00:00,Cloudy/Other,1
1,2016-01-23 16:00:00+00:00,Snow,1
1,2016-01-23 22:00:00+00:00,Snow,1
1,2016-02-05 08:00:00+00:00,Snow,1
1,2016-02-08 12:00:00+00:00,Cloudy/Other,1
1,2016-09-03 13:00:00+00:00,Cloudy/Other,1
1,2017-02-09 09:00:00+00:00,Snow,2
1,2017-03-14 02:00:00+00:00,Cloudy/Other,2
1,2018-01-03 20:00:00+00:00,Clear,2
1,2018-01-04 12:00:00+00:00,Snow,1
1,2019-02-12 10:00:00+00:00,Rain,1
1,2019-06-01 00:00:00+00:00,Clear,1
1,2019-07-31 17:00:00+00:00,Clear,1
2,2014-01-06 08:00:00+00:00,Rain,1
2,2014-02-03 21:00:00+00:00,Snow,1
2,2014-08-12 17:00:00+00:00,Cloudy/Other,1
2,2016-01-23 16:00:00+00:00,Snow,1
2,2016-01-23 22:00:00+00:00,Snow,1
2,2016-02-05 08:00:00+00:00,Snow,1
2,2016-02-08 12:00:00+00:00,Cloudy/Other,1
2,2017-02-09 09:00:00+00:00,Snow,2
2,2017-03-14 02:00:00+00:00,Cloudy/Other,2
2,2018-01-03 20:00:00+00:00,Clear,2
2,2018-01-03 23:00:00+00:00,Cloudy/Other,1
2,2018-01-04 12:00:00+00:00,Snow,1
2,2018-01-12 16:00:00+00:00,Rain,1
2,2018-03-07 22:00:00+00:00,Snow,1
2,2019-02-12 10:00:00+00:00,Rain,1
2,2019-03-02 06:00:00+00:00,Snow,1
2,2019-06-01 00:00:00+00:00,Clear,1
2,2019-07-31 17:00:00+00:00,Clear,1
3,2014-01-06 08:00:00+00:00,Rain,1
3,2014-02-03 21:00:00+00:00,Snow,1
3,2014-08-12 17:00:00+00:00,Cloudy/Other,1
3,2016-01-23 15:00:00+00:00,Snow,1
3,2016-01-23 16:00:00+00:00,Snow,1
3,2016-01-23 22:00:00+00:00,Snow,1
3,2016-01-26 00:00:00+00:00,Clear,1
3,2016-02-05 08:00:00+00:00,Snow,1
3,2016-02-08 12:00:00+00:00,Cloudy/Other,1
3,2016-09-05 00:00:00+00:00,Clear,1
3,2017-02-09 09:00:00+00:00,Snow,2
3,2017-03-14 02:00:00+00:00,Cloudy/Other,2
3,2018-01-03 20:00:00+00:00,Clear,2
3,2018-01-03 23:00:00+00:00,Cloudy/Other,1
3,2018-01-04 12:00:00+00:00,Snow,1
3,2018-01-07 23:00:00+00:00,Clear,1
3,2018-01-12 16:00:00+00:00,Rain,1
3,2018-03-07 22:00:00+00:00,Snow,1
3,2018-03-21 00:00:00+00:00,Cloudy/Other,1
3,2019-02-12 10:00:00+00:00,Rain,1
3,2019-07-31 17:00:00+00:00,Clear,1
4,2012-12-28 22:00:00+00:00,Clear,1
4,2013-03-01 05:00:00+00:00,Clear,1
4,2013-03-20 05:00:00+00:00,Clear,1
4,2013-03-25 05:00:00+00:00,Cloudy/Other,1
4,2013-03-28 05:00:00+00:00,Clear,1
4,2014-01-06 08:00:00+00:00,Rain,1
4,2014-01-07 22:00:00+00:00,Clear,1
4,2014-02-03 21:00:00+00:00,Snow,1
4,2014-08-12 17:00:00+00:00,Cloudy/Other,1
4,2016-01-22 21:00:00+00:00,Cloudy/Other,1
4,2016-01-23 16:00:00+00:00,Snow,1
4,2016-01-23 22:00:00+00:00,Snow,1
4,2016-01-25 21:00:00+00:00,Cloudy/Other,2
