startTime,endTime,temperature,shortForecast
2026-06-29 10:00:00-04:00,2026-06-29 11:00:00-04:00,76,Mostly Sunny
2026-06-29 11:00:00-04:00,2026-06-29 12:00:00-04:00,77,Sunny
2026-06-29 12:00:00-04:00,2026-06-29 13:00:00-04:00,78,Sunny
2026-06-29 13:00:00-04:00,2026-06-29 14:00:00-04:00,79,Mostly Sunny
2026-06-29 14:00:00-04:00,2026-06-29 15:00:00-04:00,79,Mostly Sunny
2026-06-29 15:00:00-04:00,2026-06-29 16:00:00-04:00,79,Mostly Sunny
2026-06-29 16:00:00-04:00,2026-06-29 17:00:00-04:00,79,Mostly Sunny
2026-06-29 17:00:00-04:00,2026-06-29 18:00:00-04:00,78,Mostly Sunny
2026-06-29 18:00:00-04:00,2026-06-29 19:00:00-04:00,77,Partly Cloudy
2026-06-29 19:00:00-04:00,2026-06-29 20:00:00-04:00,77,Partly Cloudy
2026-06-29 20:00:00-04:00,2026-06-29 21:00:00-04:00,76,Partly Cloudy
2026-06-29 21:00:00-04:00,2026-06-29 22:00:00-04:00,75,Mostly Clear
2026-06-29 22:00:00-04:00,2026-06-29 23:00:00-04:00,74,Mostly Clear
2026-06-29 23:00:00-04:00,2026-06-30 00:00:00-04:00,74,Mostly Clear
2026-06-30 00:00:00-04:00,2026-06-30 01:00:00-04:00,74,Mostly Clear
2026-06-30 01:00:00-04:00,2026-06-30 02:00:00-04:00,74,Mostly Clear
2026-06-30 02:00:00-04:00,2026-06-30 03:00:00-04:00,74,Mostly Clear
2026-06-30 03:00:00-04:00,2026-06-30 04:00:00-04:00,73,Mostly Clear
2026-06-30 04:00:00-04:00,2026-06-30 05:00:00-04:00,73,Mostly Clear
2026-06-30 05:00:00-04:00,2026-06-30 06:00:00-04:00,72,Mostly Clear
2026-06-30 06:00:00-04:00,2026-06-30 07:00:00-04:00,72,Sunny
2026-06-30 07:00:00-04:00,2026-06-30 08:00:00-04:00,72,Sunny
2026-06-30 08:00:00-04:00,2026-06-30 09:00:00-04:00,73,Sunny
2026-06-30 09:00:00-04:00,2026-06-30 10:00:00-04:00,74,Mostly Sunny
2026-06-30 10:00:00-04:00,2026-06-30 11:00:00-04:00,76,Mostly Sunny
2026-06-30 11:00:00-04:00,2026-06-30 12:00:00-04:00,78,Mostly Sunny
2026-06-30 12:00:00-04:00,2026-06-30 13:00:00-04:00,79,Mostly Sunny
2026-06-30 13:00:00-04:00,2026-06-30 14:00:00-04:00,80,Mostly Sunny
2026-06-30 14:00:00-04:00,2026-06-30 15:00:00-04:00,81,Mostly Sunny
2026-06-30 15:00:00-04:00,2026-06-30 16:00:00-04:00,81,Mostly Sunny
2026-06-30 16:00:00-04:00,2026-06-30 17:00:00-04:00,81,Mostly Sunny
2026-06-30 17:00:00-04:00,2026-06-30 18:00:00-04:00,80,Slight Chance Showers And Thunderstorms
2026-06-30 18:00:00-04:00,2026-06-30 19:00:00-04:00,79,Slight Chance Showers And Thunderstorms
2026-06-30 19:00:00-04:00,2026-06-30 20:00:00-04:00,79,Slight Chance Showers And Thunderstorms
2026-06-30 20:00:00-04:00,2026-06-30 21:00:00-04:00,78,Slight Chance Showers And Thunderstorms
2026-06-30 21:00:00-04:00,2026-06-30 22:00:00-04:00,78,Slight Chance Showers And Thunderstorms
2026-06-30 22:00:00-04:00,2026-06-30 23:00:00-04:00,78,Slight Chance Showers And Thunderstorms
2026-06-30 23:00:00-04:00,2026-07-01 00:00:00-04:00,78,Slight Chance Showers And Thunderstorms
2026-07-01 00:00:00-04:00,2026-07-01 01:00:00-04:00,77,Slight Chance Showers And Thunderstorms
2026-07-01 01:00:00-04:00,2026-07-01 02:00:00-04:00,77,Slight Chance Showers And Thunderstorms
2026-07-01 02:00:00-04:00,2026-07-01 03:00:00-04:00,76,Slight Chance Showers And Thunderstorms
2026-07-01 03:00:00-04:00,2026-07-01 04:00:00-04:00,76,Slight Chance Showers And Thunderstorms
2026-07-01 04:00:00-04:00,2026-07-01 05:00:00-04:00,75,Slight Chance Showers And Thunderstorms
2026-07-01 05:00:00-04:00,2026-07-01 06:00:00-04:00,75,Slight Chance Showers And Thunderstorms
2026-07-01 06:00:00-04:00,2026-07-01 07:00:00-04:00,74,Slight Chance Showers And Thunderstorms
2026-07-01 07:00:00-04:00,2026-07-01 08:00:00-04:00,74,Slight Chance Showers And Thunderstorms
2026-07-01 08:00:00-04:00,2026-07-01 09:00:00-04:00,74,Sunny
2026-07-01 09:00:00-04:00,2026-07-01 10:00:00-04:00,75,Sunny
2026-07-01 10:00:00-04:00,2026-07-01 11:00:00-04:00,78,Sunny
2026-07-01 11:00:00-04:00,2026-07-01 12:00:00-04:00,80,Sunny
2026-07-01 12:00:00-04:00,2026-07-01 13:00:00-04:00,83,Sunny
2026-07-01 13:00:00-04:00,2026-07-01 14:00:00-04:00,85,Sunny
2026-07-01 14:00:00-04:00,2026-07-01 15:00:00-04:00,87,Slight Chance Showers And Thunderstorms
2026-07-01 15:00:00-04:00,2026-07-01 16:00:00-04:00,88,Slight Chance Showers And Thunderstorms
2026-07-01 16:00:00-04:00,2026-07-01 17:00:00-04:00,88,Slight Chance Showers And Thunderstorms
2026-07-01 17:00:00-04:00,2026-07-01 18:00:00-04:00,88,Slight Chance Showers And Thunderstorms
2026-07-01 18:00:00-04:00,2026-07-01 19:00:00-04:00,88,Slight Chance Showers And Thunderstorms
2026-07-01 19:00:00-04:00,2026-07-01 20:00:00-04:00,87,Slight Chance Showers And Thunderstorms
2026-07-01 20:00:00-04:00,2026-07-01 21:00:00-04:00,87,Partly Cloudy
2026-07-01 21:00:00-04:00,2026-07-01 22:00:00-04:00,86,Partly Cloudy
2026-07-01 22:00:00-04:00,2026-07-01 23:00:00-04:00,86,Partly Cloudy
2026-07-01 23:00:00-04:00,2026-07-02 00:00:00-04:00,85,Partly Cloudy
2026-07-02 00:00:00-04:00,2026-07-02 01:00:00-04:00,84,Mostly Clear
2026-07-02 01:00:00-04:00,2026-07-02 02:00:00-04:00,84,Mostly Clear
2026-07-02 02:00:00-04:00,2026-07-02 03:00:00-04:00,83,Mostly Clear
2026-07-02 03:00:00-04:00,2026-07-02 04:00:00-04:00,82,Mostly Clear
2026-07-02 04:00:00-04:00,2026-07-02 05:00:00-04:00,81,Mostly Clear
2026-07-02 05:00:00-04:00,2026-07-02 06:00:00-04:00,81,Mostly Clear
2026-07-02 06:00:00-04:00,2026-07-02 07:00:00-04:00,81,Sunny
2026-07-02 07:00:00-04:00,2026-07-02 08:00:00-04:00,81,Sunny
2026-07-02 08:00:00-04:00,2026-07-02 09:00:00-04:00,81,Sunny
2026-07-02 09:00:00-04:00,2026-07-02 10:00:00-04:00,83,Sunny
2026-07-02 10:00:00-04:00,2026-07-02 11:00:00-04:00,85,Sunny
2026-07-02 11:00:00-04:00,2026-07-02 12:00:00-04:00,87,Sunny
2026-07-02 12:00:00-04:00,2026-07-02 13:00:00-04:00,89,Sunny
2026-07-02 13:00:00-04:00,2026-07-02 14:00:00-04:00,91,Sunny
2026-07-02 14:00:00-04:00,2026-07-02 15:00:00-04:00,92,Sunny
2026-07-02 15:00:00-04:00,2026-07-02 16:00:00-04:00,93,Sunny
2026-07-02 16:00:00-04:00,2026-07-02 17:00:00-04:00,94,Sunny
2026-07-02 17:00:00-04:00,2026-07-02 18:00:00-04:00,94,Sunny
2026-07-02 18:00:00-04:00,2026-07-02 19:00:00-04:00,94,Mostly Clear
2026-07-02 19:00:00-04:00,2026-07-02 20:00:00-04:00,93,Mostly Clear
2026-07-02 20:00:00-04:00,2026-07-02 21:00:00-04:00,95,Clear
2026-07-02 21:00:00-04:00,2026-07-02 22:00:00-04:00,93,Clear
2026-07-02 22:00:00-04:00,2026-07-02 23:00:00-04:00,92,Clear
2026-07-02 23:00:00-04:00,2026-07-03 00:00:00-04:00,90,Clear
2026-07-03 00:00:00-04:00,2026-07-03 01:00:00-04:00,89,Clear
2026-07-03 01:00:00-04:00,2026-07-03 02:00:00-04:00,87,Clear
2026-07-03 02:00:00-04:00,2026-07-03 03:00:00-04:00,86,Clear
2026-07-03 03:00:00-04:00,2026-07-03 04:00:00-04:00,85,Clear
2026-07-03 04:00:00-04:00,2026-07-03 05:00:00-04:00,84,Clear
2026-07-03 05:00:00-04:00,2026-07-03 06:00:00-04:00,83,Clear
2026-07-03 06:00:00-04:00,2026-07-03 07:00:00-04:00,83,Sunny
2026-07-03 07:00:00-04:00,2026-07-03 08:00:00-04:00,84,Sunny
2026-07-03 08:00:00-04:00,2026-07-03 09:00:00-04:00,85,Sunny
2026-07-03 09:00:00-04:00,2026-07-03 10:00:00-04:00,86,Sunny
2026-07-03 10:00:00-04:00,2026-07-03 11:00:00-04:00,87,Sunny
2026-07-03 11:00:00-04:00,2026-07-03 12:00:00-04:00,89,Sunny
2026-07-03 12:00:00-04:00,2026-07-03 13:00:00-04:00,90,Sunny
2026-07-03 13:00:00-04:00,2026-07-03 14:00:00-04:00,91,Sunny
2026-07-03 14:00:00-04:00,2026-07-03 15:00:00-04:00,91,Slight Chance Showers And Thunderstorms
2026-07-03 15:00:00-04:00,2026-07-03 16:00:00-04:00,92,Slight Chance Showers And Thunderstorms
2026-07-03 16:00:00-04:00,2026-07-03 17:00:00-04:00,92,Slight Chance Showers And Thunderstorms
2026-07-03 17:00:00-04:00,2026-07-03 18:00:00-04:00,92,Slight Chance Showers And Thunderstorms
2026-07-03 18:00:00-04:00,2026-07-03 19:00:00-04:00,91,Slight Chance Showers And Thunderstorms
2026-07-03 19:00:00-04:00,2026-07-03 20:00:00-04:00,92,Slight Chance Showers And Thunderstorms
2026-07-03 20:00:00-04:00,2026-07-03 21:00:00-04:00,92,Chance Showers And Thunderstorms
2026-07-03 21:00:00-04:00,2026-07-03 22:00:00-04:00,92,Chance Showers And Thunderstorms
2026-07-03 22:00:00-04:00,2026-07-03 23:00:00-04:00,91,Chance Showers And Thunderstorms
2026-07-03 23:00:00-04:00,2026-07-04 00:00:00-04:00,89,Chance Showers And Thunderstorms
